1x,1y,2x,2y
3,3,7,5
3,4,7,6
3,5,7,7
3,6,7,8
3,7,7,9
3,8,7,10
3,9,7,11
3,10,7,12
3,11,7,13
3,12,7,14
3,13,7,15
3,14,7,16
3,15,7,17
3,16,7,18
3,17,7,19
3,18,7,20
3,19,7,21
3,20,7,22
3,21,7,23
3,22,7,24
3,23,7,25
3,24,7,26
3,25,7,27
3,26,7,28
3,27,7,29
3,28,8,30
3,29,9,31
3,30,10,32
3,31,11,33
4,32,12,34
5,33,13,34
6,34,14,34
7,35,15,34
8,36,16,34
9,37,17,34
10,37,18,34
11,37,19,34
12,37,20,34
13,37,21,34
14,37,22,34
15,37,23,34
16,37,24,34
17,37,25,34
18,37,26,34
19,37,27,34
20,37,28,34
21,37,29,34
22,37,30,34
23,37,31,33
24,37,32,32
25,37,33,31
26,37,34,30
27,37,35,29
28,37,35,28
29,37,35,27
30,37,35,26
31,37,35,25
32,37,35,24
33,37,35,23
34,36,35,22
35,35,35,21
36,34,35,20
37,33,35,19
38,32,35,18
38,31,35,17
38,30,35,16
38,29,35,15
38,28,35,14
38,27,35,13
38,26,35,12
38,25,35,11
38,24,35,10
38,23,35,9
38,22,34,8
38,21,33,7
38,20,32,6
38,19,31,5
38,18,30,4
38,17,29,4
38,16,28,4
38,15,27,4
38,14,26,4
38,13,25,4
38,12,24,4
38,11,23,4
38,10,22,4
38,9,21,4
38,8,20,4
38,7,19,4
38,6,18,4
38,5,17,4
38,4,16,4
37,3,15,4
36,2,14,4
35,1,13,4
34,1,12,4
33,1,11,4
32,1,10,4
31,1,9,4
30,1,8,4
29,1,-1,-1
28,1,-1,-1
27,1,-1,-1
26,1,-1,-1
25,1,-1,-1
24,1,-1,-1
23,1,-1,-1
22,1,-1,-1
21,1,-1,-1
20,1,-1,-1
19,1,-1,-1
18,1,-1,-1
17,1,-1,-1
16,1,-1,-1
15,1,-1,-1
14,1,-1,-1
13,1,-1,-1
12,1,-1,-1
11,1,-1,-1
10,1,-1,-1
9,1,-1,-1
8,1,-1,-1
7,1,-1,-1
6,1,-1,-1
5,1,-1,-1
4,2,-1,-1
