1x,1y,2x,2y
11,9,6,12
12,8,7,13
13,8,8,13
14,8,9,13
15,8,10,13
16,8,11,13
17,8,12,13
18,8,13,13
19,8,14,13
20,8,15,13
21,8,16,13
22,8,17,13
23,8,18,13
24,8,19,13
25,8,20,13
26,8,21,13
27,8,22,13
28,8,23,13
29,8,24,13
30,9,25,13
31,10,26,13
31,11,27,13
31,12,28,14
31,13,28,15
31,14,28,16
31,15,28,17
31,16,28,18
31,17,28,19
31,18,28,20
31,19,28,21
31,20,28,22
31,21,28,23
31,22,27,23
31,23,26,23
31,24,25,23
31,25,24,23
31,26,23,23
31,27,22,23
31,28,21,23
31,29,20,23
30,28,19,23
29,27,18,23
28,26,17,23
27,26,16,23
26,26,15,23
25,26,14,23
24,26,13,23
23,26,12,23
22,26,11,23
21,26,10,23
20,26,9,23
19,26,8,23
18,26,7,23
17,26,6,23
16,26,6,22
15,26,6,21
14,26,6,20
13,26,6,19
12,26,6,18
11,26,6,17
10,26,6,16
9,26,6,15
8,26,6,14
9,25,6,13
10,24,-1,-1
10,23,-1,-1
10,22,-1,-1
10,21,-1,-1
10,20,-1,-1
10,19,-1,-1
10,18,-1,-1
10,17,-1,-1
10,16,-1,-1
10,15,-1,-1
10,14,-1,-1
10,13,-1,-1
10,12,-1,-1
10,11,-1,-1
10,10,-1,-1
10,9,-1,-1
